16640.2452618,14046.1488618,13492.8930145,13196.2256348,13068.9584965,13068.9584965,13068.9584965,13059.5192359,13002.0514364,12486.3698143,12465.3649721,12362.6343093,11622.6451966,11589.6753772,11589.6753772,11312.1940502,11312.1940502,11300.4967415,11145.6258607,10275.6366559
12866.0017373,11288.5252318,10101.491595,9109.73373341,9109.73373341,8801.19739623,8767.57380514,8722.93604664,8722.93604664,8274.51737261,8274.51737261,8051.21492778,8051.21492778,7545.02480372,7545.02480372,7071.10015452,7024.02590628,7024.02590628,7024.02590628,7008.52273735
15286.5210853,11895.7166995,10448.900392,10448.900392,10215.358267,9021.14765988,9021.14765988,9021.14765988,8637.96169193,8637.96169193,8092.06776636,8092.06776636,7232.86438633,6921.05149375,6678.49368953,6678.49368953,6678.49368953,6204.91739555,6204.91739555,6202.94180797
14309.9206691,13642.1951111,13564.5645674,12243.0358678,11458.2396111,10893.7981052,10134.4200547,9816.49680058,9816.49680058,9524.51159061,9476.59718628,9476.59718628,9099.40105761,9099.40105761,9018.13926944,8788.21056825,8660.22418426,8660.22418426,8660.22418426,8660.22418426
14123.4865665,12322.734641,12058.2734432,10655.1210279,10539.0111432,10352.0562673,10259.9138598,9952.42384818,9211.59889882,9191.92992458,9191.92992458,9191.92992458,9191.92992458,9165.16501703,9131.64246687,8747.28154212,8747.28154212,8747.28154212,8601.75935173,8601.75935173
16591.9625669,15683.7287349,14165.043336,13442.3354042,12637.7370543,12307.3678001,11637.3394675,9949.23051316,9754.29697901,9640.41982588,9640.41982588,9640.41982588,9640.41982588,9584.13405995,8850.00010286,8850.00010286,8735.9597684,8493.38337297,8493.38337297,8493.38337297
15722.7653616,12181.5661281,11764.8651008,11435.4203481,10567.2761343,10377.6588477,10377.6588477,8538.30025261,8211.87453773,7969.29814231,7474.14010323,7424.88226677,7382.09917284,7382.09917284,7382.09917284,7263.01395406,7263.01395406,7263.01395406,7263.01395406,7263.01395406
16392.1057738,15130.6564432,14102.7070827,14102.7070827,13626.2304217,13522.573128,13169.6395879,12865.4117646,12861.8988575,12594.3595529,12190.7331443,10559.6011659,10382.6837293,9733.91030299,9653.1264303,9326.70071543,8928.43415793,8718.14960782,8703.62988063,8703.62988063
17444.2331224,14154.9885117,13253.680643,11823.9616577,11823.9616577,11823.9616577,9966.91295241,9326.4290054,9166.64626516,8924.08846093,8860.12882049,8860.12882049,8860.12882049,8860.12882049,8860.12882049,8860.12882049,8860.12882049,8809.01391055,8809.01391055,8809.01391055
15830.0276002,13381.7800687,12582.6908649,12582.6908649,12576.7009899,10962.3941905,10688.8041224,10666.8609107,10666.8609107,9683.84925529,9487.80370774,9487.80370774,9409.08397893,9409.08397893,9409.08397893,9409.08397893,9409.08397893,9409.08397893,9409.08397893,9409.08397893
